reg,k,n_simulations,mean_reward_per_trial,sd_reward_per_trial,mean_exploration_rate,sd_exploration_rate
1,0.0,20,52.702999999999996,8.536281145175204,0.046,0.013138933706635726
1,0.5,20,58.254,9.628805686447745,0.046,0.013138933706635724
1,1.96,20,54.88100000000001,9.206909247664868,0.046,0.014653901941300928
1,5.0,20,56.190999999999995,8.299325210363094,0.051000000000000004,0.013726654823065195
1,10.0,20,59.090999999999994,7.989436380885104,0.053000000000000005,0.014903196407411893
10,0.0,20,53.91799999999999,8.102573730157076,0.046,0.013138933706635726
10,0.5,20,55.912,7.45916151630435,0.05,0.016543403837370223
10,1.96,20,56.80499999999999,9.623829798993745,0.05700000000000001,0.020799797569865153
10,5.0,20,59.961,5.369694590942767,0.078,0.04299326752680679
10,10.0,20,75.103,2.7639123681743913,0.159,0.054085701972838775
100,0.0,20,53.071000000000005,6.951832700427768,0.041999999999999996,0.014363696929192158
100,0.5,20,58.278,7.404351210072714,0.056999999999999995,0.014903196407411891
100,1.96,20,64.239,6.164535155566114,0.078,0.030366186180649932
100,5.0,20,73.461,1.5992034201274603,0.22999999999999998,0.018918106058538352
100,10.0,20,71.212,0.7930328193912142,0.29300000000000004,0.018666040089734583
1000,0.0,20,54.416,7.916667560480098,0.044,0.010462967275611938
1000,0.5,20,65.058,5.599029615172521,0.08299999999999999,0.03326132573235296
1000,1.96,20,72.702,0.7172726120520732,0.255,0.01820930936000652
1000,5.0,20,71.113,1.1280588823750548,0.29,0.015217718205053635
1000,10.0,20,70.739,0.8877049059231344,0.296,0.016670175069329787
